Time,Label,value
2017-03-14 20:20:00-04:00,ASPT,67.49
2017-03-14 20:30:00-04:00,ASPT,67.34
2017-03-14 20:40:00-04:00,ASPT,67.24
2017-03-14 20:50:00-04:00,ASPT,67.19
2017-03-14 21:00:00-04:00,ASPT,67.15
2017-03-14 21:10:00-04:00,ASPT,67.15
2017-03-14 21:20:00-04:00,ASPT,67.06
2017-03-14 21:30:00-04:00,ASPT,67.02
2017-03-14 21:40:00-04:00,ASPT,67.01
2017-03-14 21:50:00-04:00,ASPT,67.01
2017-03-14 22:00:00-04:00,ASPT,66.91
2017-03-14 22:10:00-04:00,ASPT,66.93
2017-03-14 22:20:00-04:00,ASPT,66.88
2017-03-14 22:30:00-04:00,ASPT,66.86
2017-03-14 22:40:00-04:00,ASPT,66.83
2017-03-14 22:50:00-04:00,ASPT,66.8
2017-03-14 23:00:00-04:00,ASPT,66.79
2017-03-14 23:10:00-04:00,ASPT,66.77
2017-03-14 23:20:00-04:00,ASPT,66.73
2017-03-14 23:30:00-04:00,ASPT,66.7
2017-03-14 23:40:00-04:00,ASPT,66.68
2017-03-14 00:00:00-04:00,ASPT,69.51
2017-03-14 00:02:00-04:00,ASPT,69.53
2017-03-14 00:04:00-04:00,ASPT,69.55
2017-03-14 00:06:00-04:00,ASPT,69.5
2017-03-14 00:08:00-04:00,ASPT,69.45
2017-03-14 00:10:00-04:00,ASPT,69.42
2017-03-14 00:12:00-04:00,ASPT,69.4
2017-03-14 00:14:00-04:00,ASPT,69.39
2017-03-14 00:16:00-04:00,ASPT,69.39
2017-03-14 00:18:00-04:00,ASPT,69.35
2017-03-14 00:20:00-04:00,ASPT,69.35
2017-03-14 00:22:00-04:00,ASPT,69.35
2017-03-14 00:24:00-04:00,ASPT,69.36
2017-03-14 00:26:00-04:00,ASPT,69.35
2017-03-14 00:28:00-04:00,ASPT,69.35
2017-03-14 00:30:00-04:00,ASPT,69.31
2017-03-14 00:32:00-04:00,ASPT,69.29
2017-03-14 00:34:00-04:00,ASPT,69.27
2017-03-14 00:36:00-04:00,ASPT,69.27
2017-03-14 00:38:00-04:00,ASPT,69.25
2017-03-14 00:40:00-04:00,ASPT,69.24
2017-03-14 00:42:00-04:00,ASPT,69.22
2017-03-14 00:44:00-04:00,ASPT,69.19
2017-03-14 00:46:00-04:00,ASPT,69.21
2017-03-14 00:48:00-04:00,ASPT,69.15
2017-03-14 00:50:00-04:00,ASPT,69.16
2017-03-14 00:52:00-04:00,ASPT,69.14
2017-03-14 00:54:00-04:00,ASPT,69.14
2017-03-14 00:56:00-04:00,ASPT,69.14
2017-03-14 00:58:00-04:00,ASPT,69.09
2017-03-14 01:00:00-04:00,ASPT,69.05
2017-03-14 01:02:00-04:00,ASPT,69.05
2017-03-14 01:04:00-04:00,ASPT,69.04
2017-03-14 01:06:00-04:00,ASPT,69.04
2017-03-14 01:08:00-04:00,ASPT,69.07
2017-03-14 01:10:00-04:00,ASPT,69.02
2017-03-14 01:12:00-04:00,ASPT,69.02
2017-03-14 01:14:00-04:00,ASPT,69.01
