Time,Label,value
2017-03-13 20:20:00-04:00,ASPT,70.97
2017-03-13 20:30:00-04:00,ASPT,70.92
2017-03-13 20:40:00-04:00,ASPT,70.89
2017-03-13 20:50:00-04:00,ASPT,70.84
2017-03-13 21:00:00-04:00,ASPT,70.77
2017-03-13 21:10:00-04:00,ASPT,70.66
2017-03-13 21:20:00-04:00,ASPT,70.56
2017-03-13 21:30:00-04:00,ASPT,70.46
2017-03-13 21:40:00-04:00,ASPT,70.42
2017-03-13 21:50:00-04:00,ASPT,70.38
2017-03-13 22:00:00-04:00,ASPT,70.31
2017-03-13 22:10:00-04:00,ASPT,70.29
2017-03-13 22:20:00-04:00,ASPT,70.14
2017-03-13 22:30:00-04:00,ASPT,70.03
2017-03-13 22:40:00-04:00,ASPT,69.94
2017-03-13 22:50:00-04:00,ASPT,69.9
2017-03-13 23:00:00-04:00,ASPT,69.84
2017-03-13 23:10:00-04:00,ASPT,69.77
2017-03-13 23:20:00-04:00,ASPT,69.71
2017-03-13 23:30:00-04:00,ASPT,69.68
2017-03-13 23:40:00-04:00,ASPT,69.67
2017-03-12 23:59:59-04:00,ASPT,68.63
2017-03-13 00:01:59-04:00,ASPT,68.63
2017-03-13 00:03:59-04:00,ASPT,68.62
2017-03-13 00:05:59-04:00,ASPT,68.61
2017-03-13 00:07:59-04:00,ASPT,68.58
2017-03-13 00:09:59-04:00,ASPT,68.58
2017-03-13 00:11:59-04:00,ASPT,68.58
2017-03-13 00:13:59-04:00,ASPT,68.62
2017-03-13 00:15:59-04:00,ASPT,68.63
2017-03-13 00:17:59-04:00,ASPT,68.6
2017-03-13 00:19:59-04:00,ASPT,68.58
2017-03-13 00:21:59-04:00,ASPT,68.6
2017-03-13 00:23:59-04:00,ASPT,68.57
2017-03-13 00:25:59-04:00,ASPT,68.53
2017-03-13 00:27:59-04:00,ASPT,68.59
2017-03-13 00:29:59-04:00,ASPT,68.67
2017-03-13 00:31:59-04:00,ASPT,68.65
2017-03-13 00:33:59-04:00,ASPT,68.68
2017-03-13 00:35:59-04:00,ASPT,68.68
2017-03-13 00:37:59-04:00,ASPT,68.76
2017-03-13 00:39:59-04:00,ASPT,68.68
2017-03-13 00:41:59-04:00,ASPT,68.69
2017-03-13 00:43:59-04:00,ASPT,68.66
2017-03-13 00:45:59-04:00,ASPT,68.7
2017-03-13 00:47:59-04:00,ASPT,68.66
2017-03-13 00:49:59-04:00,ASPT,68.68
2017-03-13 00:51:59-04:00,ASPT,68.68
2017-03-13 00:53:59-04:00,ASPT,68.66
2017-03-13 00:55:59-04:00,ASPT,68.64
2017-03-13 00:57:59-04:00,ASPT,68.68
2017-03-13 00:59:59-04:00,ASPT,68.7
2017-03-13 01:01:59-04:00,ASPT,68.66
2017-03-13 01:03:59-04:00,ASPT,68.64
2017-03-13 01:05:59-04:00,ASPT,68.63
2017-03-13 01:07:59-04:00,ASPT,68.64
2017-03-13 01:09:59-04:00,ASPT,68.63
2017-03-13 01:11:59-04:00,ASPT,68.63
2017-03-13 01:13:59-04:00,ASPT,68.64
2017-03-13 01:15:59-04:00,ASPT,68.7
2017-03-13 01:17:59-04:00,ASPT,68.7
2017-03-13 01:19:59-04:00,ASPT,68.66
2017-03-13 01:21:59-04:00,ASPT,68.68
2017-03-13 01:23:59-04:00,ASPT,68.64
2017-03-13 01:25:59-04:00,ASPT,68.65
2017-03-13 01:27:59-04:00,ASPT,68.64
2017-03-13 01:29:59-04:00,ASPT,68.63
2017-03-13 01:31:59-04:00,ASPT,68.6
2017-03-13 01:33:59-04:00,ASPT,68.63
2017-03-13 01:35:59-04:00,ASPT,68.63
2017-03-13 01:37:59-04:00,ASPT,68.66
2017-03-13 01:39:59-04:00,ASPT,68.6
2017-03-13 01:41:59-04:00,ASPT,68.61
2017-03-13 01:43:59-04:00,ASPT,68.61
2017-03-13 01:45:59-04:00,ASPT,68.65
2017-03-13 01:47:59-04:00,ASPT,68.61
2017-03-13 01:49:59-04:00,ASPT,68.59
2017-03-13 01:51:59-04:00,ASPT,68.66
2017-03-13 01:53:59-04:00,ASPT,68.66
2017-03-13 01:55:59-04:00,ASPT,68.61
2017-03-13 01:58:00-04:00,ASPT,68.55
2017-03-13 01:59:59-04:00,ASPT,68.53
2017-03-13 02:01:59-04:00,ASPT,68.56
2017-03-13 02:03:59-04:00,ASPT,68.56
2017-03-13 02:05:59-04:00,ASPT,68.51
2017-03-13 02:07:59-04:00,ASPT,68.55
2017-03-13 02:09:59-04:00,ASPT,68.5
2017-03-13 02:11:59-04:00,ASPT,68.52
2017-03-13 02:13:59-04:00,ASPT,68.57
2017-03-13 02:15:59-04:00,ASPT,68.61
2017-03-13 02:17:59-04:00,ASPT,68.63
2017-03-13 02:19:59-04:00,ASPT,68.62
2017-03-13 02:21:59-04:00,ASPT,68.55
2017-03-13 02:23:59-04:00,ASPT,68.56
2017-03-13 02:25:59-04:00,ASPT,68.55
2017-03-13 02:27:59-04:00,ASPT,68.58
2017-03-13 02:29:59-04:00,ASPT,68.61
2017-03-13 02:31:59-04:00,ASPT,68.6
2017-03-13 02:33:59-04:00,ASPT,68.55
2017-03-13 02:35:59-04:00,ASPT,68.55
2017-03-13 02:37:59-04:00,ASPT,68.62
2017-03-13 02:39:59-04:00,ASPT,68.56
2017-03-13 02:41:59-04:00,ASPT,68.58
2017-03-13 02:43:59-04:00,ASPT,68.55
2017-03-13 02:45:59-04:00,ASPT,68.57
2017-03-13 02:47:59-04:00,ASPT,68.6
2017-03-13 02:49:59-04:00,ASPT,68.61
2017-03-13 02:51:59-04:00,ASPT,68.58
2017-03-13 02:53:59-04:00,ASPT,68.57
2017-03-13 02:55:59-04:00,ASPT,68.6
2017-03-13 02:57:59-04:00,ASPT,68.6
2017-03-13 02:59:59-04:00,ASPT,68.59
2017-03-13 03:01:59-04:00,ASPT,68.58
2017-03-13 03:03:59-04:00,ASPT,68.54
2017-03-13 03:05:59-04:00,ASPT,68.55
2017-03-13 03:07:59-04:00,ASPT,68.55
2017-03-13 03:09:59-04:00,ASPT,68.61
2017-03-13 03:11:59-04:00,ASPT,68.55
2017-03-13 03:13:59-04:00,ASPT,68.52
2017-03-13 03:15:59-04:00,ASPT,68.53
2017-03-13 03:17:59-04:00,ASPT,68.52
2017-03-13 03:19:59-04:00,ASPT,68.58
2017-03-13 03:21:59-04:00,ASPT,68.61
2017-03-13 03:23:59-04:00,ASPT,68.59
2017-03-13 03:25:59-04:00,ASPT,68.6
2017-03-13 03:27:59-04:00,ASPT,68.58
2017-03-13 03:29:59-04:00,ASPT,68.63
2017-03-13 03:31:59-04:00,ASPT,68.62
2017-03-13 03:33:59-04:00,ASPT,68.66
2017-03-13 03:35:59-04:00,ASPT,68.65
2017-03-13 03:37:59-04:00,ASPT,68.58
2017-03-13 03:39:59-04:00,ASPT,68.55
2017-03-13 03:41:59-04:00,ASPT,68.56
2017-03-13 03:43:59-04:00,ASPT,68.58
2017-03-13 03:45:59-04:00,ASPT,68.55
2017-03-13 03:47:59-04:00,ASPT,68.57
2017-03-13 03:49:59-04:00,ASPT,68.6
2017-03-13 03:51:59-04:00,ASPT,68.58
2017-03-13 03:53:59-04:00,ASPT,68.58
2017-03-13 03:55:59-04:00,ASPT,68.58
2017-03-13 03:58:00-04:00,ASPT,68.6
2017-03-13 03:59:59-04:00,ASPT,68.59
2017-03-13 04:01:59-04:00,ASPT,68.62
2017-03-13 04:03:59-04:00,ASPT,68.58
2017-03-13 04:05:59-04:00,ASPT,68.58
2017-03-13 04:07:59-04:00,ASPT,68.59
2017-03-13 04:09:59-04:00,ASPT,68.6
2017-03-13 04:11:59-04:00,ASPT,68.55
2017-03-13 04:13:59-04:00,ASPT,68.5
2017-03-13 04:15:59-04:00,ASPT,68.54
2017-03-13 04:17:59-04:00,ASPT,68.55
2017-03-13 04:19:59-04:00,ASPT,68.5
2017-03-13 04:21:59-04:00,ASPT,68.49
2017-03-13 04:23:59-04:00,ASPT,68.5
2017-03-13 04:25:59-04:00,ASPT,68.47
2017-03-13 04:28:00-04:00,ASPT,68.48
2017-03-13 04:29:59-04:00,ASPT,68.46
2017-03-13 04:31:59-04:00,ASPT,68.53
2017-03-13 04:33:59-04:00,ASPT,68.5
2017-03-13 04:35:59-04:00,ASPT,68.47
2017-03-13 04:37:59-04:00,ASPT,68.44
2017-03-13 04:39:59-04:00,ASPT,68.4
2017-03-13 04:41:59-04:00,ASPT,68.4
2017-03-13 04:43:59-04:00,ASPT,68.37
2017-03-13 04:45:59-04:00,ASPT,68.39
2017-03-13 04:47:59-04:00,ASPT,68.36
2017-03-13 04:49:59-04:00,ASPT,68.35
2017-03-13 04:51:59-04:00,ASPT,68.35
2017-03-13 04:53:59-04:00,ASPT,68.4
2017-03-13 04:55:59-04:00,ASPT,68.33
2017-03-13 04:57:59-04:00,ASPT,68.36
2017-03-13 04:59:59-04:00,ASPT,68.32
2017-03-13 05:01:59-04:00,ASPT,68.37
2017-03-13 05:03:59-04:00,ASPT,68.36
2017-03-13 05:05:59-04:00,ASPT,68.31
2017-03-13 05:07:59-04:00,ASPT,68.32
2017-03-13 05:09:59-04:00,ASPT,68.34
2017-03-13 05:11:59-04:00,ASPT,68.32
2017-03-13 05:13:59-04:00,ASPT,68.35
2017-03-13 05:15:59-04:00,ASPT,68.32
2017-03-13 05:17:59-04:00,ASPT,68.34
2017-03-13 05:19:59-04:00,ASPT,68.32
2017-03-13 05:21:59-04:00,ASPT,68.32
2017-03-13 05:23:59-04:00,ASPT,68.32
2017-03-13 05:25:59-04:00,ASPT,68.32
2017-03-13 05:27:59-04:00,ASPT,68.31
2017-03-13 05:29:59-04:00,ASPT,68.29
2017-03-13 05:31:59-04:00,ASPT,68.29
2017-03-13 05:33:59-04:00,ASPT,68.26
2017-03-13 05:35:59-04:00,ASPT,68.22
2017-03-13 05:37:59-04:00,ASPT,68.24
2017-03-13 05:39:59-04:00,ASPT,68.26
2017-03-13 05:41:59-04:00,ASPT,68.19
2017-03-13 05:43:59-04:00,ASPT,68.21
2017-03-13 05:45:59-04:00,ASPT,68.24
2017-03-13 05:47:59-04:00,ASPT,68.22
2017-03-13 05:49:59-04:00,ASPT,68.18
2017-03-13 05:51:59-04:00,ASPT,68.2
2017-03-13 05:53:59-04:00,ASPT,68.23
2017-03-13 05:55:59-04:00,ASPT,68.24
2017-03-13 05:57:59-04:00,ASPT,68.24
2017-03-13 05:59:59-04:00,ASPT,68.24
2017-03-13 06:01:59-04:00,ASPT,68.22
2017-03-13 06:03:59-04:00,ASPT,68.23
2017-03-13 06:05:59-04:00,ASPT,68.2
2017-03-13 06:07:59-04:00,ASPT,68.19
2017-03-13 06:09:59-04:00,ASPT,68.24
2017-03-13 06:11:59-04:00,ASPT,68.22
2017-03-13 06:13:59-04:00,ASPT,68.2
2017-03-13 06:15:59-04:00,ASPT,68.19
2017-03-13 06:17:59-04:00,ASPT,68.16
2017-03-13 06:19:59-04:00,ASPT,68.17
2017-03-13 06:21:59-04:00,ASPT,68.18
2017-03-13 06:23:59-04:00,ASPT,68.19
2017-03-13 06:25:59-04:00,ASPT,68.19
2017-03-13 06:27:59-04:00,ASPT,68.18
2017-03-13 06:29:59-04:00,ASPT,68.19
2017-03-13 06:31:59-04:00,ASPT,68.19
2017-03-13 06:33:59-04:00,ASPT,68.14
2017-03-13 06:35:59-04:00,ASPT,68.15
2017-03-13 06:37:59-04:00,ASPT,68.18
2017-03-13 06:39:59-04:00,ASPT,68.15
2017-03-13 06:41:59-04:00,ASPT,68.15
2017-03-13 06:43:59-04:00,ASPT,68.17
2017-03-13 06:45:59-04:00,ASPT,68.21
2017-03-13 06:47:59-04:00,ASPT,68.19
2017-03-13 06:49:59-04:00,ASPT,68.15
2017-03-13 06:51:59-04:00,ASPT,68.14
2017-03-13 06:53:59-04:00,ASPT,68.15
2017-03-13 06:55:59-04:00,ASPT,68.12
2017-03-13 06:57:59-04:00,ASPT,68.17
2017-03-13 06:59:59-04:00,ASPT,68.14
2017-03-13 07:01:59-04:00,ASPT,68.12
2017-03-13 07:03:59-04:00,ASPT,68.12
2017-03-13 07:05:59-04:00,ASPT,68.11
2017-03-13 07:07:59-04:00,ASPT,68.12
2017-03-13 07:10:00-04:00,ASPT,68.19
2017-03-13 07:12:02-04:00,ASPT,68.1
2017-03-13 07:14:00-04:00,ASPT,68.13
2017-03-13 07:16:00-04:00,ASPT,68.1
2017-03-13 07:18:00-04:00,ASPT,68.06
2017-03-13 07:20:00-04:00,ASPT,68.04
2017-03-13 07:22:00-04:00,ASPT,68.04
2017-03-13 07:24:00-04:00,ASPT,68.05
2017-03-13 07:26:00-04:00,ASPT,68.08
2017-03-13 07:28:00-04:00,ASPT,68.09
2017-03-13 07:30:00-04:00,ASPT,68.08
2017-03-13 07:32:00-04:00,ASPT,68.04
2017-03-13 07:34:00-04:00,ASPT,68.04
2017-03-13 07:36:00-04:00,ASPT,68.03
2017-03-13 07:38:00-04:00,ASPT,68.1
2017-03-13 07:40:00-04:00,ASPT,68.09
2017-03-13 07:42:00-04:00,ASPT,68.09
2017-03-13 07:44:00-04:00,ASPT,68.07
2017-03-13 07:46:00-04:00,ASPT,68.09
2017-03-13 07:48:00-04:00,ASPT,68.07
2017-03-13 07:50:00-04:00,ASPT,68.09
2017-03-13 07:52:00-04:00,ASPT,68.11
2017-03-13 07:54:00-04:00,ASPT,68.12
2017-03-13 07:56:00-04:00,ASPT,68.12
2017-03-13 07:58:00-04:00,ASPT,68.14
2017-03-13 08:00:00-04:00,ASPT,68.1
2017-03-13 08:02:00-04:00,ASPT,68.12
2017-03-13 08:04:00-04:00,ASPT,68.15
2017-03-13 08:06:00-04:00,ASPT,68.22
2017-03-13 08:08:00-04:00,ASPT,68.15
2017-03-13 08:10:00-04:00,ASPT,68.16
2017-03-13 08:12:00-04:00,ASPT,68.17
2017-03-13 08:14:00-04:00,ASPT,68.16
2017-03-13 08:16:00-04:00,ASPT,68.24
2017-03-13 08:18:00-04:00,ASPT,68.35
2017-03-13 08:20:00-04:00,ASPT,68.48
2017-03-13 08:22:00-04:00,ASPT,68.59
2017-03-13 08:24:00-04:00,ASPT,68.68
2017-03-13 08:26:00-04:00,ASPT,68.81
2017-03-13 08:28:00-04:00,ASPT,69.0
2017-03-13 08:30:00-04:00,ASPT,69.28
2017-03-13 08:32:00-04:00,ASPT,69.55
2017-03-13 08:34:00-04:00,ASPT,69.76
